COMPLETE PROGRAMS REPORT
Total installed: 123
Total store apps: 163
Total running: 125
Total startup: 8

================================================================================
INSTALLED PROGRAMS (123)
================================================================================

Anaconda3 2025.06-0 (Python 3.13.5 64-bit) | 2025.06-0 | Anaconda, Inc.
AVG Update Helper | 1.8.1996.6 | AVG Technologies
Brave | 148.1.90.122 | Brave Software Inc
Chrome Remote Desktop | 1.0 | BraveSoftware\Brave-Browser
Chrome Remote Desktop Host | 148.0.7778.23 | Google LLC
Claude Code | 2.1.89 | Anthropic PBC
cURL | 8.17.0.6 | curl
dch_setup | 1.54.0.0 | kbedohi
Dell Command | Power Manager | 2.2.1 | Dell Inc.
Dell ControlVault Host Components Installer 64 bit | 4.12.5.8 | Broadcom Limited
Dell SupportAssist | 5.0.1.2516 | Dell Inc.
Dell SupportAssist OS Recovery Plugin for Dell Update | 5.5.15.2 | Dell Inc.
Dell Touchpad | 10.3201.101.216 | ALPSALPINE CO., LTD.
DiagnosticsHub_CollectionService | 17.14.36412 | Microsoft Corporation
ExplorerPatcher | 26100.4946.69.6 | VALINET Solutions SRL
fd | 10.3.0 | David Peter
fzf | 0.67.0 | Junegunn Choi
Git | 2.54.0 | The Git Development Community
GitHub CLI | 2.81.0 | GitHub, Inc.
GlazeWM | 3.9.1 | Glzr Software Pte. Ltd.
Google Chrome | 148.0.7778.168 | Google LLC
icecap_collection_neutral | 17.14.36015 | Microsoft Corporation
icecap_collection_x64 | 17.14.36015 | Microsoft Corporation
icecap_collectionresources | 17.14.36015 | Microsoft Corporation
icecap_collectionresourcesx64 | 17.14.36015 | Microsoft Corporation
iCloud Outlook | 15.5.0.23 | Apple Inc.
Intel(R) Management Engine Components | 2521.8.6.0 | Intel Corporation
Intel(R) Management Engine Driver | 1.0.0.0 | Intel Corporation
Intel(R) Trusted Connect Service Client x64 | 1.77.4.0 | Intel Corporation
Intel(R) Trusted Connect Service Client x86 | 1.77.4.0 | Intel Corporation
Intel(R) Trusted Connect Services Client | 1.77.4.0 | Intel Corporation
Intel(R) Wireless Bluetooth(R) | 19.11.1639.0649 | Intel Corporation
JDownloader 2 | 2.0.250317 | AppWork GmbH
